"lon","lat","sampleid","SecondaryLabel","PLOTID","EMAIL","Confidence","ConfidenceReasoning","LC2000","ForestType2000","NonForestType2000","CropType2000","LC2018end","forestChangeEvent","Change1year","ChangeType1","DegradationDriver1","LossDriver1","SecondForestChangeEvent","Change2year","ChangeType2","DegradationDriver2","LossDriver2","ThirdForestChangeEvent","Change3year","ChangeType3","DegradationDriver3","LossDriver3","morethan3forestchanges","DescribeExtraChanges","ForestType2018","NonForestType2018","CropType2018","mixedLCpixel"
117.742858,8.843869056,148,"","148","","no","cloudy satellite image","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
117.7487869,9.032784761,4,"","4","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
117.9347382,9.110129707,723,"","723","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
117.9401281,9.207417252,870,"","870","","","","","stable non forest","","","","","","",""," cashew",NA,"","","","148198299","","",""," cashew","","",NA,"","N/A non-forest entire time",""," rambutan durian),fruit trees (mango"
118.2503163,9.203644328,828,"","828","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
118.4012333,9.336235664,577,"","577","","no","none","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
118.4610611,9.463706602,557,"","557","","no","none","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
118.5343636,9.684153173,684,"","684","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
118.6478208,9.940981513,177,"","177","leizeldelacruz@gmail.com","high","","non-forest","","shrubs","","forest","yes","2004","Reforestation","","","no",NA,"",NA,"","",NA,"",NA,"","",NA,"inland forest","","","no"
118.6537497,9.621630429,39,"Degrdation","39","","no","","forest","inland forest","","","forest","yes","2016","Degradation","Unsure","","no",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
118.6777347,9.589021585,848,"","848","","No","Need to confirm if indeed it was forest before the indiated change to shrub in 2013.","forest","inland forest","","",NA,"yes","","","deforested epoch 1","Conversion of forests (plantations,,,,non-forest,no,NA,,deforested,2013,no,,,high, fishpond)"," agroforestry","","","","","","","Deforestation",NA,"","","","Deforestation","","","annual crop"
118.8758133,10.1856826,914,"","914","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
118.9806467,10.08839505,988,"","988","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
119.0302337,10.3945409,126,"","126","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
119.0345456,10.14310245,947,"","947","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
119.1843846,10.3748678,839,"","839","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
119.2218443,10.12962772,14,"","14","tgisorena@yahoo.com","medium","Mangrove area and most likely it is not reached by water anymore and have dried out","forest","mangrove","","","non-forest","yes","2011","Deforestation","Unsure","","no",NA,"",NA,"","",NA,"",NA,NA,"",NA,"","open/barren","","yes"
119.3471593,10.34872682,748,"","748","","no","","non-forest","","grassland","grassland","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","grassland","","no"
119.3735698,10.65271671,345,"","345","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
119.385158,10.37109487,176,"Multiple events","176","","no","","forest","inland forest","","","forest","yes","2015","Degradation","Legal / illegal logging / poaching","","yes","2016","Degradation","Legal / illegal logging / poaching","","no",NA,"",NA,"","","","inland forest","","","yes"
119.3897394,10.98715949,371,"Multiple events","371","","no","","forest","inland forest","","","forest","yes","2004","Degradation","Unsure","","yes","2005","Degradation","Unsure","","yes","2010","Deforestation",NA,"Legal / illegal logging / poaching","yes","reforestation in 2011","inland forest","","","no"
119.4449858,10.95293368,545,"","545","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
119.4466028,11.07797917,405,"","405","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
119.4633115,11.26878133,318,"","318","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
119.633093,10.68101364,87,"","87","","no","none","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","shrubs","","Not Measured"
119.7724217,16.21400697,861,"","861","","no","","","high","","","","","","","","","","","","","","","","","","","",NA,"","","",""
119.7872439,11.48195155,141,"","141","","no","","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","shrubs","","Not Measured"
119.8554261,16.05796961,532,"","532","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
119.8786026,12.29420823,682,"","682","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
119.9308846,16.3969938,88,"","88","","no","","non-forest","","grassland","grassland","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","open/barren","","Not Measured"
119.932771,15.88198964,623,"","623","","no","none","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
119.9508272,15.44379145,454,"","454","","no","none","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
119.9958328,15.53811455,992,"","992","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
120.0394909,15.50011582,829,"","829","","no","in the vicinity the forest seems to be thinning. ","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
120.0432638,15.28748459,768,"","768","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.0535046,12.19422574,23,"","23","tgisorena@yahoo.com","","Defo happended in 2003 (based on ndfi) no high resolution imagery before 2004","forest","inland forest","","","non-forest","yes","2003","Deforestation","","Forest / brush fire","no",NA,"",NA,"","",NA,"",NA,NA,"",NA,"","shrubs","","Not Measured"
120.0588945,15.03550715,472,"","472","","no","","non-forest","","open/barren","open/barren","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","open/barren","","no"
120.081532,15.33841907,962,"","962","","no","none","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
120.1208782,15.7599086,636,"","636","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
120.1254597,15.30823567,894,"","894","","no","","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
120.1297716,15.51978892,279,"","279","","no","surrounding area is degraded","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
120.1591465,15.11204361,910,"","910","","no","none","non-forest","","grassland","grassland","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","grassland","","no"
120.2408033,15.54646889,115,"","115","","no","none","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","grassland","","Not Measured"
120.255895,15.10341979,730,"","730","","no","none","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
120.2693698,15.17564434,685,"","685","","no","the plot is within the river","non-forest","","other (leave in note)","other (leave in note)","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","other (leave in note)","","no"
120.2947023,15.26565553,82,"","82","","no","none","non-forest","","shrubs","shrubs","non-forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","shrubs","","Not Measured"
120.3146449,14.81721654,591,"","591","","no","golf course that is in development","non-forest","","open/barren","open/barren","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","grassland","","no"
120.332162,15.79170896,520,"","520","","","","","stable non forest","","","","","","",""," cashew",NA,"","","","148198299","","",""," cashew","","",NA,"","N/A non-forest entire time",""," rambutan durian),fruit trees (mango"
120.3461757,15.27805228,573,"","573","","LabelPerennial-MapREF23","none","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","unsure","no"
120.3564165,14.67869632,984,"","984","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
120.3653098,14.65525029,958,"","958","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
120.3666573,15.19855138,337,"","337","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
120.3901033,16.75488261,634,"","634","","no","none","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.3973797,16.48323206,729,"","729","","no","none","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.407351,16.54305986,961,"","961","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","yes"
120.4122019,15.93292412,767,"","767","","no","","non-forest","","built-up","built-up","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","built-up","","no"
120.4154358,14.93175174,283,"","283","","stable nonforest","","non-forest","","","","","open/barren","","","","","","","","","","","","",NA,"","","","","perennial crop","fruit trees (mango,N/A non-forest entire time,,stable non forest, cashew,stable non forest,,148198299,NA,stable non forest,stable non forest,,,,,non-forest,,,,148198299,NA, rambutan durian)",NA
120.4162443,15.17618333,71,"","71","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
120.4275631,16.37732069,882,"","882","","LabelPerennial-MapNONFOREST","","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","unsure","no"
120.434031,15.74077448,133,"","133","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","annual crop","","Not Measured"
120.4410378,14.77760083,506,"","506","","no","none","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
120.4421158,14.45905823,427,"","427","leizeldelacruz@gmail.com","","none","non-forest","","shrubs","","forest","yes","2008","Reforestation","","","",NA,"",NA,"","",NA,"",NA,"","",NA,"inland forest","","","no"
120.4458887,17.32378568,420,"","420","","no","none","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
120.4491227,17.30815499,253,"","253","","no","Based on google images and NDVI valiues","non-forest","","grassland","grassland","forest","yes","2016","Reforestation","","","no",NA,"","","","",NA,"",NA,"","","","inland forest","","","yes"
120.4534346,17.22838459,462,"","462","","no","","non-forest","","built-up","built-up","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","built-up","","no"
120.4537041,15.74239145,189,"","189","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.4617889,16.63873044,551,"","551","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.4776891,14.9931965,610,"","610","","no","","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
120.4776891,17.31300589,313,"","313","","","","","Deforestation","","","","","","",""," cashew",NA,"","","","17853423","","",""," cashew","","",NA,"","N/A non-forest entire time",""," rambutan durian),fruit trees (mango"
120.4873909,16.58941293,827,"","827","","no","none","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.4876604,16.49859326,41,"","41","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
120.4989791,14.95250282,955,"","955","","","","","stable non forest","","","","","","",""," cashew",NA,"","","","148198299","","",""," cashew","","",NA,"","N/A non-forest entire time",""," rambutan durian),fruit trees (mango"
120.4995181,15.14114903,15,"","15","","stable non forest",""," Kaingin is done in the area. ,leizeldelacruz@gmail.com,60,non-forest,NA,stable non forest,stable nonforest Agroforestry,no,,,perennial crop,non-forest,Through years","148198299","","",NA,"","","","stable non forest",NA,"","","stable non forest",NA,"","","N/A non-forest entire time","high","","","","","","stable non forest",NA,NA
120.507603,16.03479307,874,"","874","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.5119149,15.84210445,928,"","928","","no","","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
120.5410203,14.49867394,252,"","252","","no","mix grasslands with shurbs and few trees","non-forest","","open/barren","open/barren","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","other (leave in note)","","yes"
120.5563815,15.8841456,280,"","280","","no","none","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.55719,15.34623441,691,"","691","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.5612324,15.93454109,195,"","195","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.580636,16.66460192,247,"","247","tgisorena@yahoo.com","medium","","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,"","",NA,"inland forest","","","no"
120.5836004,15.06245661,756,"","756","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.5862954,17.52132521,100,"","100","","no","Plot seems vegetated in NDVI but Google Images suggest these are brushes.","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","shrubs","","Not Measured"
120.5943802,17.9196382,17,"","17","","no","The area is located in the fringes of an area clearly is non-forest and area that is mostly shrubs. ","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","shrubs","","Not Measured"
120.5992311,15.70600968,657,"","657","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.606238,13.42177358,46,"","46","","no","none","non-forest","","grassland","grassland","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","grassland","","Not Measured"
120.6154008,15.58851004,679,"","679","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.6232162,17.20871149,215,"Degradation","215","","no","Some indices indicate it as non-forest but zooming out and assessing the images shows the other way around","forest","inland forest","","","forest","yes","2014","Degradation","Unsure","","no",NA,"","","","",NA,"",NA,"","","","inland forest","","","yes"
120.6237551,16.13989596,275,"","275","","no","none","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
120.6272586,18.08429939,292,"","292","","no","","non-forest","","built-up","built-up","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","built-up","","no"
120.6304925,15.15570174,121,"","121","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","annual crop","","Not Measured"
120.6337264,16.69209037,571,"","571","","no","none","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
120.6445062,13.89985697,607,"","607","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.6490876,16.89097737,101,"","101","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
120.6504351,17.31408387,360,"","360","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
120.679271,15.12444037,744,"","744","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.682505,16.15741311,366,"","366","","no","river","non-forest","","other (leave in note)","other (leave in note)","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","other (leave in note)","","no"
120.703795,16.50290517,796,"","796","leizeldelacruz@gmail.com","high","mix annual and perennial","forest","inland forest","","","non-forest","yes","2016","Deforestation","","Conversion of forests (plantations, agroforestry, fishpond)","no",NA,"",NA,"","",NA,"",NA,"","",NA,"","perennial crop","","yes"
120.703795,18.08618586,711,"","711","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.7129578,17.53830337,241,"","241","","no","none","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.7137663,15.64106149,114,"","114","","no","none","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","annual crop","","Not Measured"
120.7196952,14.00522935,170,"","170","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.7452972,16.28542304,775,"","775","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","yes"
120.7609279,15.3764178,710,"","710","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.7708992,16.98556997,521,"","521","","no","There is a road within the plot.","non-forest","","built-up","built-up","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","built-up","","no"
120.780601,17.47874506,546,"","546","tgisorena@yahoo.com","high","","forest","inland forest","","","forest","yes","2002","Deforestation","","unsure","yes","2006","Reforestation",NA,"","no",NA,"",NA,"","",NA,"inland forest","","","no"
120.7857214,15.0382021,93,"","93","","no","","non-forest","","open/barren","open/barren","forest","yes","2012","Reforestation","","","no",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
120.7862604,15.80653116,973,"","973","","no","","non-forest","","grassland","grassland","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.7956927,17.42107322,3,"","3","","no","Pine trees ","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
120.7981181,14.98376419,225,"","225","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.806203,18.3977216,140,"","140","","no","It is right at the edge of the patch of forest. Surrounding areas shows some black spots that could mean it is subjected to fire. April & May months shows a dip in NDFI but the forest is not lost though. It may be thinnign during dry period.","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
120.8115929,17.76279235,942,"","942","","no","","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
120.8121319,17.38145752,204,"","204","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.8183302,17.23970336,826,"","826","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
120.8188692,14.05023495,483,"","483","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
120.8194082,18.14736113,987,"","987","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","yes"
120.8237201,16.3223438,95,"","95","","no","google images starts 2010 onwards only. cloudy images","non-forest","","open/barren","open/barren","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","grassland","","Not Measured"
120.8250676,14.84066257,67,"","67","","no","","non-forest","","built-up","built-up","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","built-up","","Not Measured"
120.830188,13.42851094,90,"","90","","no","the plot actually seems to be both perennial and annual crop. ","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","annual crop","","Not Measured"
120.8331524,12.95851238,77,"","77","","no","the plot area became a river/streambed","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","other (leave in note)","","Not Measured"
120.8382728,14.0774539,488,"","488","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","yes"
120.8423153,14.29331906,559,"","559","","no","none","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
120.8455492,16.18840499,425,"","425","tgisorena@yahoo.com","high","natural forest on ridge RdL: Another point that only shows 1 loss in 2002 and 1 gain in 2003. No visual data prior to 2014, NDFI does show and abrupt drop in 2002.","forest","inland forest","","","forest","yes","2002","Deforestation","","Kaingin making","yes","2005","Reforestation",NA,"","",NA,"",NA,"","",NA,"inland forest","","","no"
120.8466272,18.25273351,307,"","307","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
120.8487831,17.12139524,290,"","290","","no","","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
120.8495916,13.44926202,37,"Degradation","37","","no","none","forest","inland forest","","","forest","yes","2016","Degradation","Unsure","","no",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
120.8498611,18.50390246,790,"","790","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
120.8504001,15.42223188,455,"","455","","no","none","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
120.8517476,16.16118603,30,"","30","","Deforestation","Deforestation"," part of the area with pronounced dry periods in 3 to 4 months. ,tgisorena@yahoo.com,60,forest,NA,stable non forest,Deforestation,no,inland forest,,,forest,The area is part patch of forest that stays as forest even if the surrounding areas are dry and loses vegetation during the dry months","148198299","","","2018","","","","stable non forest",NA,"","","stable non forest",NA,"","","yes","medium","Unsure","","","","no","Deforestation",NA,NA
