"ï..plotid","sampleid","lon","lat","Land.cover.in.2000.","Type.of.forest.","Type.of.non.forest.land.cover.","Type.of.crop.","Was.there.a.forest.change.during.the.time.period.of.interest.","Year.of.first.change.","Was.there.a.second.forest.change.","Type.of.change...second.","Driver.of.degradation...second.change.","Driver.of.deforestation...second.change.","Year.of.second.change.","Was.there.a.third.forest.change.","Type.of.change...third.","Driver.of.deforestation...third.change.","Driver.of.degradation...third.change.","Were.there.more.than.3.forest.changes.2000.2018.","Please.describe.possible.extra.changes..1.","Year.of.third.change.","Type.of.change...first.","Driver.of.deforestation...first.","Driver.of.degradation...first.change.","Land.cover.end.of.2018.","Type.of.forest...2018.","Type.of.non.forest.land.cover...2018.","Type.of.crop...2018.","Is.this.a.mixed.land.cover.pixel.","Level.of.confidence.in.interpretation","Notes..reasoning..low.confidence.causes"
274,274,121.4966481,16.2773382,"forest","inland forest","","","yes",2004,"no","","","",NA,"","",NA,NA,"","",NA,"Deforestation","Legal / illegal logging / poaching","","non-forest","","shrubs","","no","high","none"
277,277,121.2252671,15.35108531,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
279,279,120.1297716,15.51978892,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","Agoho"
294,294,124.2678609,6.752052086,"forest","inland forest","","","yes",2003,"yes","Deforestation","","Conversion of forests (plantations, agroforestry, fishpond)",2013,"no","",NA,NA,"","",NA,"Degradation","","Unsure","non-forest","","annual crop","","no","medium","Looks like natural forest with adjacent agri use"
315,315,122.3172591,16.91172845,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","Plot is in the middle of stable forest"
316,316,121.5950136,18.35406347,"forest","mangrove forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","mangrove forest","","","no","high","In the terrapulse 10% only half of the plot is identified as forest and other half as non-forest. Could be if waterlogged it is interpreted as non-forest."
333,333,125.7665203,9.276138371,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
338,338,124.5494828,9.909989636,"non-forest","","shrubs","","yes",2010,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","forest","inland forest","","","no","high","none"
339,339,125.5105005,7.571585119,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","Plot is in a gully/ small stream."
357,357,125.4444743,8.73768819,"forest","inland forest","","","yes",2005,"yes","Reforestation","","",2010,"no","",NA,NA,"","",NA,"Deforestation","Kaingin making","","forest","inland forest","","","no","high","none"
358,358,122.1781999,7.393449199,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","Stable forest surrounded by stable forest area."
360,360,120.6504351,17.31408387,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","This plot is at the edge of a forest patch. The area is relatively dry (western Luzon)."
361,361,121.3565109,12.63619686,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","Stable forest plot surrounded by stable forest area."
372,372,125.9522021,8.23696725,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","Stable forest plot in the middle of stable forest area."
387,387,121.6626568,14.01924307,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","Deforestation occurred on 2019 (cleared) "
400,400,125.5735622,7.377279524,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","This area looks like swamp. "
405,405,119.4466028,11.07797917,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","Stable forest plot surrounding by stable forest."
418,418,121.1985871,15.92483928,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
425,425,120.8455492,16.18840499,"forest","inland forest","","","yes",2002,"yes","Reforestation","","",2014,"no","",NA,NA,"","",NA,"Deforestation","Unsure","","forest","inland forest","","","no","medium","Check the May2002 if this can constitute deforestation."
444,444,125.2946353,7.288615805,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","The stable forest plot is in a gully area. It can be clearly seen in the surrounding the that forest are intact in these gullies. the area surrounding these narrow patches of forest are annual and perenial crops lands."
445,445,121.6238495,14.36931654,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
477,477,120.4162443,15.17618333,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","Stable forest in the middle of stable forest area"
481,481,122.0671681,13.89877899,"non-forest","","perennial crop","coconut / other palm","N/A non-forest entire time",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","non-forest","","perennial crop","coconut / other palm","no","high","This is coconut area."
483,483,120.8188692,14.05023495,"forest","inland forest","","","yes",2003,"yes","Reforestation","","",2013,"no","",NA,NA,"","",NA,"Degradation","","Unsure","forest","inland forest","","","no","high","none"
489,489,125.3563496,6.20336111,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","medium","The plot is found in a gully in a small patch of forest 3 hectares in size. Throughout the landscape the forest are mostly in the gully areas. Although in 2003 the NDFI was very low the GE image is still fully a forest."
500,500,121.1484611,12.99947556,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","Stable forest plot in the middle of stable forest polygon."
502,502,122.2598568,17.02006528,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","Stable forest plot surrounded by big stable forest polygon."
524,524,121.126093,16.9243947,"forest","inland forest","","","yes",2003,"no","","","",NA,"","",NA,NA,"","",NA,"Degradation","","Unsure","forest","inland forest","","","no","medium","In 2004 there was an observed dip in NDFI below .85. It climbed up slowly in the next data points. Most of the NDFI values are .9 above."
543,543,121.0376988,17.34022485,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","The plot is stable forest surrounded by stable forest."
550,550,125.1116485,12.10583152,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","This is plot in the middle of stable forest. "
572,572,124.933782,7.229865985,"forest","inland forest","","","yes",2016,"no","","","",NA,"","",NA,NA,"","",NA,"Deforestation","Conversion of forests (plantations, agroforestry, fishpond)","","non-forest","","annual crop","","no","high","none"
589,589,121.8698981,17.77896203,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
606,606,121.4074454,17.12301221,"forest","inland forest","","","yes",2002,"yes","Reforestation","","",2014,"no","",NA,NA,"","",NA,"Degradation","","Unsure","forest","inland forest","","","no","medium","thinning of forest cover from 2002"
616,616,121.9143647,16.62229127,"forest","inland forest","","","yes",2006,"yes","Reforestation","","",2015,"no","",NA,NA,"","",NA,"Deforestation","Conversion of forests (plantations, agroforestry, fishpond)","","non-forest","","perennial crop","coconut / other palm","no","high","none"
626,626,126.3243741,8.12647447,"forest","inland forest","","","yes",2004,"yes","Deforestation","","Conversion of forests (plantations, agroforestry, fishpond)",2015,"no","",NA,NA,"","",NA,"Degradation","","Legal / illegal logging / poaching","non-forest","","shrubs","","no","medium","Not certain with forest change year, but in 2004 in GE image there is looks degraded forest. In 2015 there is full grown banana and shrub."
631,631,121.2179907,18.2236281,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","yes","high","Adjacent to the plot is an area of exposed soil and is hown in NDFI map in 2004. But clearly in the GE image in 2007 is clearly still forest up to 2018.."
639,639,122.2021849,10.75108224,"non-forest","","grassland","","yes",2012,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","non-forest","","shrubs","","no","high","none"
652,652,121.1985871,18.18670734,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","This is beside a stream and swelling of the water could have been picked as deforestation."
660,660,120.2947023,15.26565553,"non-forest","","annual crop","","N/A non-forest entire time",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","non-forest","","annual crop","","no","high","There is a strong constant pattern of up and down of the NDFI to suggest the yearly clearing of the areas for annual crops."
667,667,124.3907505,6.124938186,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","Its stable forest in the middle of the stable forest. "
669,669,121.2112533,17.0788151,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","The plot is stable forest surrounded by stable forest throughout 2000-2018"
695,695,124.6807266,12.19341726,"forest","inland forest","","","yes",2016,"no","","","",NA,"","",NA,NA,"","",NA,"Deforestation","Kaingin making","","non-forest","","perennial crop","coconut / other palm","no","high","Based on the NDFI."
699,699,123.196081,10.82357628,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","medium","Beside the river."
703,703,117.547205,8.755474832,"forest","inland forest","","","yes",2005,"no","","","",NA,"","",NA,NA,"","",NA,"Deforestation","Unsure","","non-forest","","shrubs","","no","medium","Change based on looking at the false color composite. Looks image in 2010 like these are shrubs instead of forest."
714,714,124.5831696,12.41763675,"forest","inland forest","","","yes",2004,"no","","","",NA,"","",NA,NA,"","",NA,"Degradation","","Unsure","non-forest","","perennial crop","coconut / other palm","yes","medium","Based on the images available it seems that the change was not sudden but more of selective cutting, and then planting of coconut in these areas. In later images you get the crown of coconut showing up."
718,718,125.3024506,12.10960444,"forest","inland forest","","","yes",2014,"no","","","",NA,"","",NA,NA,"","",NA,"Deforestation","Conversion of forests (plantations, agroforestry, fishpond)","","non-forest","","perennial crop","fruit trees (mango, cashew, avocado, rambutan durian)","no","high","June 2014. deforrestation not picked by as deforestation but area was totally cleared."
736,736,125.4460913,7.297778621,"non-forest","","shrubs","","yes",2013,"yes","Degradation","Unsure","",2016,"yes","Reforestation",NA,NA,"no","none",2018,"Reforestation","","","non-forest","","perennial crop","coconut / other palm","yes","medium","the plot is a mixture of palm and fruit trees"
742,742,123.9657575,7.807931871,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","images are covered with clouds "
763,763,125.4194113,8.827429887,"forest","inland forest","","","yes",2014,"yes","Reforestation","","",2017,"no","",NA,NA,"","",NA,"Deforestation","Conversion of forests (plantations, agroforestry, fishpond)","","forest","inland forest","","","yes","high","part of the plot was converted to annual cropland and was left after"
771,771,125.0650259,11.78648043,"non-forest","","perennial crop","coconut / other palm","N/A non-forest entire time",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","non-forest","","perennial crop","coconut / other palm","yes","high","Mix of annual and perennial"
791,791,125.2509772,12.25189758,"non-forest","","perennial crop","coconut / other palm","N/A non-forest entire time",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","non-forest","","perennial crop","coconut / other palm","no","high","none"
810,810,126.0538015,8.494873569,"non-forest","","shrubs","","yes",2012,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","forest","inland forest","","","no","high","none"
814,814,121.2117923,13.12964145,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","forest the whole time, lot of shadows and clouds"
826,826,120.8183302,17.23970336,"forest","inland forest","","","yes",2002,"yes","Reforestation","","",2018,"no","",NA,NA,"","",NA,"Deforestation","Conversion of forests (plantations, agroforestry, fishpond)","","forest","inland forest","","","no","high","none"
839,839,119.1843846,10.3748678,"non-forest","","shrubs","","yes",2001,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","forest","inland forest","","","no","medium","Part of the plot is not fully covered with tree crown on 2000 but became more robust on 2001."
863,863,122.3016284,11.15532411,"forest","inland forest","","","yes",2017,"no","","","",NA,"","",NA,NA,"","",NA,"Deforestation","Conversion of forests (plantations, agroforestry, fishpond)","","non-forest","","annual crop","","no","high","none"
866,866,121.3486956,12.40739596,"non-forest","","shrubs","","N/A non-forest entire time",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","non-forest","","perennial crop","fruit trees (mango, cashew, avocado, rambutan durian)","yes","high","mix of perennial and annual"
879,879,125.1297046,7.179470498,"non-forest","","shrubs","","N/A non-forest entire time",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","non-forest","","annual crop","","yes","high","there are years that it is a mixed of annual and perennial"
884,884,125.980499,8.566020139,"non-forest","","shrubs","","yes",2012,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","non-forest","","perennial crop","coconut / other palm","no","high","none"
890,890,123.1909606,7.962621763,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
892,892,124.8823086,10.89148892,"non-forest","","grassland","","yes",2013,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","forest","inland forest","","","no","high","none"
901,901,125.6153338,9.152709851,"non-forest","","shrubs","","yes",2005,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","forest","inland forest","","","no","high","none"
902,902,126.2057965,7.78556382,"non-forest","","shrubs","","yes",2012,"yes","Deforestation","","Kaingin making",2014,"yes","Reforestation",NA,NA,"no","N/A - no changes",2017,"Reforestation","","","non-forest","","shrubs","","no","medium","none"
903,903,124.7852905,6.909436924,"forest","inland forest","","","yes",2016,"yes","Reforestation","","",2018,"no","",NA,NA,"","",NA,"Deforestation","Kaingin making","","non-forest","","grassland","","no","high","none"
911,911,124.9787876,11.8977817,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
924,924,125.63339,10.19511491,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
932,932,122.1094788,17.7156308,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
934,934,125.3752142,12.29744217,"forest","mangrove forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","mangrove forest","","","yes","high","Mix of mangrove and waterbody"
940,940,122.8602907,7.622789091,"non-forest","","perennial crop","coconut / other palm","yes",2014,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","forest","inland forest","","","no","high","plot is in the edge of annual and perennial"
943,943,125.4746577,8.806409309,"forest","inland forest","","","yes",2006,"yes","Reforestation","","",2016,"no","",NA,NA,"","",NA,"Degradation","","Unsure","forest","inland forest","","","no","high","none"
947,947,119.0345456,10.14310245,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
950,950,125.3981212,7.555415444,"non-forest","","shrubs","","yes",2004,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","non-forest","","perennial crop","fruit trees (mango, cashew, avocado, rambutan durian)","no","medium","none"
956,956,123.9881255,9.976015809,"forest","mangrove forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","mangrove forest","","","no","high","The mangrove expanded since 2015"
960,960,124.5101366,12.14733368,"non-forest","","shrubs","","yes",2004,"no","","","",NA,"","",NA,NA,"","",NA,"Reforestation","","","non-forest","","perennial crop","coconut / other palm","no","medium","planted with palms and trees"
961,961,120.407351,16.54305986,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
969,969,123.9234468,7.836767791,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
972,972,121.6400192,14.44962592,"forest","inland forest","","","yes",2017,"no","","","",NA,"","",NA,NA,"","",NA,"Deforestation","Conversion of forests (plantations, agroforestry, fishpond)","","non-forest","","annual crop","","no","high","none"
984,984,120.3564165,14.67869632,"forest","inland forest","","","no",NA,"","","","",NA,"","",NA,NA,"","",NA,"","","","forest","inland forest","","","no","high","none"
985,985,121.3672907,17.14160734,"forest","inland forest","","","yes",2015,"yes","Reforestation","","",2018,"no","",NA,NA,"","",NA,"Deforestation","Conversion of forests (plantations, agroforestry, fishpond)","","forest","inland forest","","","yes","high","Plot is in the edge of Annual cropland and forest"
992,992,119.9958328,15.53811455,"forest","inland forest","","","yes",2003,"yes","Reforestation","","",2012,"no","",NA,NA,"","",NA,"Deforestation","Conversion of forests (plantations, agroforestry, fishpond)","","forest","inland forest","","","yes","high","Small portion of plot is annual crop but majority is covered with trees."
